"file","parser","ok","error","warnings","n_rows"
"FinalResultFile_19.lst","etas",TRUE,NA,NA,6
"FinalResultFile_19.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_19.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_19.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_20.lst","read_lst_file",TRUE,NA,NA,1168
"FinalResultFile_20.lst","thetas",TRUE,NA,NA,7
"FinalResultFile_20.lst","etas",TRUE,NA,NA,6
"FinalResultFile_20.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_20.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_20.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_2003.lst","read_lst_file",TRUE,NA,NA,603
"FinalResultFile_2003.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_2003.lst","etas",TRUE,NA,NA,2
"FinalResultFile_2003.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_2003.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_2003.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_21.lst","read_lst_file",TRUE,NA,NA,1159
"FinalResultFile_21.lst","thetas",TRUE,NA,NA,7
"FinalResultFile_21.lst","etas",TRUE,NA,NA,6
"FinalResultFile_21.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_21.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_21.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_2164.lst","read_lst_file",TRUE,NA,NA,639
"FinalResultFile_2164.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_2164.lst","etas",TRUE,NA,NA,2
"FinalResultFile_2164.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_2164.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_2164.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_22.lst","read_lst_file",TRUE,NA,NA,492
"FinalResultFile_22.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_22.lst","etas",TRUE,NA,NA,4
"FinalResultFile_22.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_22.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_22.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_23.lst","read_lst_file",TRUE,NA,NA,492
"FinalResultFile_23.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_23.lst","etas",TRUE,NA,NA,4
"FinalResultFile_23.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_23.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_23.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_232.lst","read_lst_file",TRUE,NA,NA,666
"FinalResultFile_232.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_232.lst","etas",TRUE,NA,NA,2
"FinalResultFile_232.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_232.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_232.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_2325.lst","read_lst_file",TRUE,NA,NA,606
"FinalResultFile_2325.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_2325.lst","etas",TRUE,NA,NA,2
"FinalResultFile_2325.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_2325.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_2325.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_24.lst","read_lst_file",TRUE,NA,NA,836
"FinalResultFile_24.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_24.lst","etas",TRUE,NA,NA,4
"FinalResultFile_24.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_24.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_24.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_2486.lst","read_lst_file",TRUE,NA,NA,635
"FinalResultFile_2486.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_2486.lst","etas",TRUE,NA,NA,1
"FinalResultFile_2486.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_2486.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_2486.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_25.lst","read_lst_file",TRUE,NA,NA,658
"FinalResultFile_25.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_25.lst","etas",TRUE,NA,NA,2
"FinalResultFile_25.lst","sigmas",TRUE,NA,NA,1
"FinalResultFile_25.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_25.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_26.lst","read_lst_file",TRUE,NA,NA,658
"FinalResultFile_26.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_26.lst","etas",TRUE,NA,NA,2
"FinalResultFile_26.lst","sigmas",TRUE,NA,NA,1
"FinalResultFile_26.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_26.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_2647.lst","read_lst_file",TRUE,NA,NA,670
"FinalResultFile_2647.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_2647.lst","etas",TRUE,NA,NA,1
"FinalResultFile_2647.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_2647.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_2647.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_27.lst","read_lst_file",TRUE,NA,NA,655
"FinalResultFile_27.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_27.lst","etas",TRUE,NA,NA,2
"FinalResultFile_27.lst","sigmas",TRUE,NA,NA,1
"FinalResultFile_27.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_27.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_2808.lst","read_lst_file",TRUE,NA,NA,621
"FinalResultFile_2808.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_2808.lst","etas",TRUE,NA,NA,2
"FinalResultFile_2808.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_2808.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_2808.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_2969.lst","read_lst_file",TRUE,NA,NA,568
"FinalResultFile_2969.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_2969.lst","etas",TRUE,NA,NA,1
"FinalResultFile_2969.lst","sigmas",TRUE,NA,NA,1
"FinalResultFile_2969.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_2969.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_3130.lst","read_lst_file",TRUE,NA,NA,639
"FinalResultFile_3130.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_3130.lst","etas",TRUE,NA,NA,1
"FinalResultFile_3130.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_3130.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_3130.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_3291.lst","read_lst_file",TRUE,NA,NA,568
"FinalResultFile_3291.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_3291.lst","etas",TRUE,NA,NA,1
"FinalResultFile_3291.lst","sigmas",TRUE,NA,NA,1
"FinalResultFile_3291.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_3291.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_3452.lst","read_lst_file",TRUE,NA,NA,642
"FinalResultFile_3452.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_3452.lst","etas",TRUE,NA,NA,2
"FinalResultFile_3452.lst","sigmas",TRUE,NA,NA,1
"FinalResultFile_3452.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_3452.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_3613.lst","read_lst_file",TRUE,NA,NA,671
"FinalResultFile_3613.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_3613.lst","etas",TRUE,NA,NA,1
"FinalResultFile_3613.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_3613.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_3613.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_3774.lst","read_lst_file",TRUE,NA,NA,630
"FinalResultFile_3774.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_3774.lst","etas",TRUE,NA,NA,1
"FinalResultFile_3774.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_3774.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_3774.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_393.lst","read_lst_file",TRUE,NA,NA,612
"FinalResultFile_393.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_393.lst","etas",TRUE,NA,NA,2
"FinalResultFile_393.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_393.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_393.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_3935.lst","read_lst_file",TRUE,NA,NA,603
"FinalResultFile_3935.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_3935.lst","etas",TRUE,NA,NA,2
"FinalResultFile_3935.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_3935.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_3935.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_4096.lst","read_lst_file",TRUE,NA,NA,666
"FinalResultFile_4096.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_4096.lst","etas",TRUE,NA,NA,2
"FinalResultFile_4096.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_4096.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_4096.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_4257.lst","read_lst_file",TRUE,NA,NA,612
"FinalResultFile_4257.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_4257.lst","etas",TRUE,NA,NA,2
"FinalResultFile_4257.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_4257.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_4257.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_4418.lst","read_lst_file",TRUE,NA,NA,666
"FinalResultFile_4418.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_4418.lst","etas",TRUE,NA,NA,2
"FinalResultFile_4418.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_4418.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_4418.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_4579.lst","read_lst_file",TRUE,NA,NA,666
"FinalResultFile_4579.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_4579.lst","etas",TRUE,NA,NA,2
"FinalResultFile_4579.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_4579.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_4579.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_4740.lst","read_lst_file",TRUE,NA,NA,657
"FinalResultFile_4740.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_4740.lst","etas",TRUE,NA,NA,2
"FinalResultFile_4740.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_4740.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_4740.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_5.lst","read_lst_file",TRUE,NA,NA,608
"FinalResultFile_5.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_5.lst","etas",TRUE,NA,NA,2
"FinalResultFile_5.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_5.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_5.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_554.lst","read_lst_file",TRUE,NA,NA,635
"FinalResultFile_554.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_554.lst","etas",TRUE,NA,NA,1
"FinalResultFile_554.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_554.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_554.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_6.lst","read_lst_file",TRUE,NA,NA,609
"FinalResultFile_6.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_6.lst","etas",TRUE,NA,NA,2
"FinalResultFile_6.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_6.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_6.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_7.lst","read_lst_file",TRUE,NA,NA,654
"FinalResultFile_7.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_7.lst","etas",TRUE,NA,NA,2
"FinalResultFile_7.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_7.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_7.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_715.lst","read_lst_file",TRUE,NA,NA,635
"FinalResultFile_715.lst","thetas",TRUE,NA,NA,3
"FinalResultFile_715.lst","etas",TRUE,NA,NA,1
"FinalResultFile_715.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_715.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_715.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_8.lst","read_lst_file",TRUE,NA,NA,654
"FinalResultFile_8.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_8.lst","etas",TRUE,NA,NA,2
"FinalResultFile_8.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_8.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_8.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_876.lst","read_lst_file",TRUE,NA,NA,636
"FinalResultFile_876.lst","thetas",TRUE,NA,NA,4
"FinalResultFile_876.lst","etas",TRUE,NA,NA,1
"FinalResultFile_876.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_876.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_876.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_9.lst","read_lst_file",TRUE,NA,NA,651
"FinalResultFile_9.lst","thetas",TRUE,NA,NA,6
"FinalResultFile_9.lst","etas",TRUE,NA,NA,2
"FinalResultFile_9.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_9.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_9.lst","condn",TRUE,NA,NA,NA
"FinalResultFile_94.lst","read_lst_file",TRUE,NA,NA,1051
"FinalResultFile_94.lst","thetas",TRUE,NA,NA,7
"FinalResultFile_94.lst","etas",TRUE,NA,NA,6
"FinalResultFile_94.lst","sigmas",TRUE,NA,NA,2
"FinalResultFile_94.lst","ofv",TRUE,NA,NA,NA
"FinalResultFile_94.lst","condn",TRUE,NA,NA,NA
"full_cov.lst","read_lst_file",TRUE,NA,NA,1321
"full_cov.lst","thetas",TRUE,NA,NA,12
"full_cov.lst","etas",TRUE,NA,NA,7
"full_cov.lst","sigmas",TRUE,NA,NA,2
"full_cov.lst","ofv",TRUE,NA,NA,NA
"full_cov.lst","condn",TRUE,NA,NA,NA
"full_cov_1.lst","read_lst_file",TRUE,NA,NA,1321
"full_cov_1.lst","thetas",TRUE,NA,NA,12
"full_cov_1.lst","etas",TRUE,NA,NA,7
"full_cov_1.lst","sigmas",TRUE,NA,NA,2
"full_cov_1.lst","ofv",TRUE,NA,NA,NA
"full_cov_1.lst","condn",TRUE,NA,NA,NA
"full_cov_2.lst","read_lst_file",TRUE,NA,NA,1321
"full_cov_2.lst","thetas",TRUE,NA,NA,12
"full_cov_2.lst","etas",TRUE,NA,NA,7
"full_cov_2.lst","sigmas",TRUE,NA,NA,2
"full_cov_2.lst","ofv",TRUE,NA,NA,NA
"full_cov_2.lst","condn",TRUE,NA,NA,NA
"long_lst.lst","read_lst_file",TRUE,NA,NA,3306
"long_lst.lst","thetas",TRUE,NA,".parse_vector_block: 29 IDs but 28 values for 'THETA - VECTOR OF FIXED EFFECTS PARAMETERS'. Padding with NA.",29
"long_lst.lst","etas",TRUE,NA,NA,3
"long_lst.lst","sigmas",TRUE,NA,NA,9
"long_lst.lst","ofv",TRUE,NA,NA,NA
"long_lst.lst","condn",TRUE,NA,NA,NA
"NM_0_0001.lst","read_lst_file",TRUE,NA,NA,74
"NM_0_0001.lst","thetas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0001.lst","etas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0001.lst","sigmas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0001.lst","ofv",TRUE,NA,NA,NA
"NM_0_0001.lst","condn",TRUE,NA,NA,NA
"NM_0_0002.lst","read_lst_file",TRUE,NA,NA,74
"NM_0_0002.lst","thetas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0002.lst","etas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0002.lst","sigmas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0002.lst","ofv",TRUE,NA,NA,NA
"NM_0_0002.lst","condn",TRUE,NA,NA,NA
"NM_0_0003.lst","read_lst_file",TRUE,NA,NA,74
"NM_0_0003.lst","thetas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0003.lst","etas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0003.lst","sigmas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0003.lst","ofv",TRUE,NA,NA,NA
"NM_0_0003.lst","condn",TRUE,NA,NA,NA
"NM_0_0004.lst","read_lst_file",TRUE,NA,NA,74
"NM_0_0004.lst","thetas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0004.lst","etas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0004.lst","sigmas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0004.lst","ofv",TRUE,NA,NA,NA
"NM_0_0004.lst","condn",TRUE,NA,NA,NA
"NM_0_0005.lst","read_lst_file",TRUE,NA,NA,74
"NM_0_0005.lst","thetas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0005.lst","etas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0005.lst","sigmas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0005.lst","ofv",TRUE,NA,NA,NA
"NM_0_0005.lst","condn",TRUE,NA,NA,NA
"NM_0_0006.lst","read_lst_file",TRUE,NA,NA,74
"NM_0_0006.lst","thetas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0006.lst","etas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
"NM_0_0006.lst","sigmas",FALSE,"Could not detect a known estimation method in this lst file.
Supported: FOCE-I, FOCE, FO, SAEM, IMP, IMPMAP, Bayesian.",NA,NA
